BioSamples,Tissue,Chemotype,Cultivar,Treatment,Pubmed,BioProject,Instrument,Layout,Selection_method,SRA_sample,SRA_study,Study_title,Study_abstract,Date,Origin
SAMN41256082,Leaf,Type III,Pink pepper,Drought stress with Trichoderma hamatum,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235025,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN41256083,Leaf,Type III,Pink pepper,Drought stress with Trichoderma hamatum,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235022,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN41256084,Leaf,Type III,Pink pepper,Trichoderma hamatum,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235023,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN41256085,Leaf,Type III,Pink pepper,Trichoderma hamatum,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235021,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN41256086,Leaf,Type III,Pink pepper,Trichoderma hamatum,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235020,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN41256087,Leaf,Type III,Pink pepper,Drought stress,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235019,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN41256088,Leaf,Type III,Pink pepper,Drought stress,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235016,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN41256089,Leaf,Type III,Pink pepper,Drought stress,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235015,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN41256090,Leaf,Type III,Pink pepper,Control,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235018,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN41256091,Leaf,Type III,Pink pepper,Control,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235017,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN41256092,Leaf,Type III,Pink pepper,Control,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235014,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
SAMN38024628,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308471,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:16,Ireland:Dublin
SAMN38024627,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308470,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:16,Ireland:Dublin
SAMN38024626,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308469,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:16,Ireland:Dublin
SAMN38024680,Leaf,Type III,F2_FinolaXFelina32,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308468,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:16,Ireland:Dublin
SAMN38024679,Leaf,Type III,F2_FinolaXFelina32,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308467,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:16,Ireland:Dublin
SAMN38024625,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308466,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:16,Ireland:Dublin
SAMN38024678,Leaf,Type III,F2_FinolaXFelina32,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308465,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024677,Leaf,Type III,F2_FinolaXFelina32,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308464,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024676,Leaf,Type III,F2_FinolaXFelina32,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308463,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024675,Leaf,Type III,F2_FinolaXFelina32,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308462,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024651,Leaf,Type III,Felina32,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308461,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024650,Leaf,Type III,Felina32,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308460,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024649,Leaf,Type III,Felina32,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308459,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024622,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308458,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024648,Stem,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308457,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024647,Stem,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308456,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024646,Stem,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308455,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024645,Stem,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308454,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024644,Stem,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308452,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024643,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308453,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024642,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308451,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024641,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308450,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024640,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308449,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024639,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308448,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024621,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308447,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024638,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308446,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024637,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308445,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
SAMN38024636,Leaf,Type III,Finola,NA,NA,PRJNA956491,Illumina NovaSeq 6000,PAIRED,PolyA,SRS19308444,SRP432958,QTL mapping of photoperiod insensitivity in Cannabis,"Whole genome sequencing of parents of a mapping population, 'FINOLA' and 'Felina 32', their F1 and bulked early/late F2 and F3 individuals.",2023-10-31 00:06:15,Ireland:Dublin
